Barcode,Title
39015095854173,The notebooks of Leonardo da Vinci /
39015098525861,The notebooks of Leonardo da Vinci /
39015096770584,Printing types :
39015096771251,American metal typefaces of the Twentieth Century /
39015095862267,The art of looking sideways /
39015096772945,Envisioning information /
39015096771004,The visual display of quantitative information /
39015098162350,Designing for people /
39015095853829,The new way things work /
39015098091740,Designing interactions /
39015099163803,Creative Time :
39015095862358,Manufacturing processes for design professionals /
39015095862390,Visual thinking for design /
39015098146429,Hand job :
39015098169991,Design meets disability /
39015095853928,Thinking with type :
39015095863752,The participatory museum /
39015095862374,Visual complexity :
39015096112332,Make space :
39015095873504,The design of everyday things /
39015095862341,Interaction of color /
39015095862366,Things come apart :
39015095862382,Design for information :
39015095855824,The book of trees :
39015095854702,The library beyond the book /
39015095921535,The art of tinkering :
39015095854736,The artist's library :
39015098098869,Nature anatomy :
39015095936582,Digital vernacular :
39015095849348,"Don't make me think, revisited :"
39015098098893,The little book of typographic ornament /
39015095854751,Thing explainer :
39015095862325,Visualize this :
39015095862275,Rapid viz :
39015095862283,"American wood type, 1828-1900 :"
39015095855469,Beautiful data :
39015096112324,Data points :
39015096111839,Speedball textbook :
B7196826,Type :
B7945502,Type :
39015096111771,Cartographies of time /
39015098754552,Visualising information for advocacy.
39015095924166,Meggs' history of graphic design /
39015098099503,Bruno Munari :
39015098111837,Plotted :
39015095883651,The way to go :
39015096759892,Design thinking :
39015097390143,The field guide to human-centered design :
39015096514693,Innovating for people :
39015098054342,The art of creative thinking :
39015095937267,ROY G. BIV :
39015097445939,The typographic desk reference /
B7520474,Unpleasant design /
39015097462066,EYEO converge to inspire 2011-2015.
39015098102729,Dear data :
39015098513115,Your Sharpie style :
39015098114930,The best American infographics 2016 /
39015098113221,Fantasies of the library /
39015098114252,Geek-art :
39015098146023,Sharpie art workshop :
39015098143962,The art of ballpoint :
39015098145918,The graphic design idea book :
39015097934502,The book of circles :
39015097944477,How to have great ideas :
39015097945607,House Industries :
39015097962248,Beautiful geometry /
